date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:05:37	2534/2534	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202017%2005:40:05%20GMT	http://www.cplusplus.com/reference/edit.cgi	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/edit.html	(from http://www.cplusplus.com/reference/)
11:05:37	20367/20367	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/cstring/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/cstring/index.html	(from http://www.cplusplus.com/reference/)
11:05:38	15424/15424	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/ctgmath/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/ctgmath/index.html	(from http://www.cplusplus.com/reference/)
11:05:38	2540/2540	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202017%2005:40:06%20GMT	http://www.cplusplus.com/reference/delete.cgi	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/delete.html	(from http://www.cplusplus.com/reference/)
11:05:38	17927/17927	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/ctime/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/ctime/index.html	(from http://www.cplusplus.com/reference/)
11:05:39	16582/16582	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/cuchar/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/cuchar/index.html	(from http://www.cplusplus.com/reference/)
11:05:39	33418/33418	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/cwchar/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/cwchar/index.html	(from http://www.cplusplus.com/reference/)
11:05:39	20675/20675	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/cwctype/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/cwctype/index.html	(from http://www.cplusplus.com/reference/)
11:05:39	2555/2555	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202017%2005:40:08%20GMT	http://www.cplusplus.com/reference/new.cgi?a=cassert	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/newd9ab.html	(from http://www.cplusplus.com/reference/cassert/)
11:05:40	14610/14610	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/array/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/array/index.html	(from http://www.cplusplus.com/reference/)
